Sample	Population	Latitude	Longitude	Annual mean temperature	Mean diurnal range	Isothermality	Temperature seasonality	Max temperature of warmest month	Min temperature of coldest month	Temperature annual range	Mean temperature of wettest quarter	Mean temperature of driest quarter	Mean temperature of warmest quarter	Mean temperature of coldest quarter	Annual precipitation	Precipitation of wettest month	Precipitation of driest month	Precipitation seasonality	Precipitation of wettest quarter	Precipitation of driest quarter	Precipitation of warmest quarter	Precipitation of coldest quarter	UVB index	PET (June)
1254	SWE	59.4333	17.0167	6.26994112191773	7.539483310882559	26.999024192749012	740.5253513671872	21.64999737219238	-6.275001695373513	27.92499954443357	15.812698667419436	-1.9041003283233586	15.812698667419436	-2.4039669653167626	529.2380799999994	65.4960000000003	22.999999999999996	30.029547719604604	179.49203200000017	84.75001599999979	179.49203200000017	97.75001599999979	1251.872314453125	10755
1257	SWE	59.4382	17.0217	6.310822156509312	7.514663363449109	26.935115888855016	740.303706695313	21.699127159606945	-6.199999809265138	27.899127905883795	15.857751287383966	-1.8743279892845779	15.857751287383966	-2.35279456863413	524.6560960000081	65.90473600000108	22.820736000000835	30.337242020141474	178.81820800000207	83.54620800000275	178.81820800000207	96.54620800000275	1251.872314453125	10755
1552	SWE	63.0833	18.366699999999998	2.9908095643007155	7.960183474365328	26.689828992065582	790.3061784023487	19.475001504638865	-10.349599906921377	29.824601407715022	3.133601058471858	1.6375018547441802	13.329168222534403	-6.1370324613036225	721.2458239999764	85.5039999999976	36.24998399999809	28.72393113977096	238.75398399999315	123.49996799999494	206.24191999999402	152.74995199999427	1129.788330078125	10645
5856	SWE	63.0167	17.4914	2.4553845816114253	8.445123807617092	27.07337199731435	824.6598109609317	19.442774693114988	-11.750400001525893	31.193174244262465	11.650716472808577	-3.372417013847548	13.080181128753413	-7.335812719177332	696.199328000041	84.6082560000037	33.572256000002476	29.8454078265983	239.5528960000104	116.012896000009	226.0246400000094	136.7807680000096	1114.0352783203125	11036
5860	SWE	62.6814	18.0165	3.75269195781713	7.372384106369006	25.409794626770008	777.130803261718	19.37319951629643	-9.64073628128044	29.013935787353486	4.266589173660335	-2.214600066986029	13.873378313140911	-5.3192453311919525	719.9158399999952	89.12863999999985	39.26799999999953	26.278136642761126	243.79327999999873	132.39663999999937	188.20063999999797	152.93263999999843	1162.0748291015625	11652
6009	SWE	62.876999999999995	18.177000000000003	3.5300215693474466	7.953856573295592	26.523949002838112	791.6886208740239	19.913519670105035	-10.074000282287564	29.9875199523926	3.812886668682179	0.9561398958191067	13.86080655441291	-5.70254009113306	712.4155999999913	87.67239999999914	38.19239999999982	28.10583845520027	241.1419999999972	125.72959999999837	194.40199999999794	151.14199999999767	1156.9451904296875	10970
6010	SWE	62.892100000000006	18.1922	3.4404302022396536	7.915972108825571	26.493117772216745	787.6257811054609	19.799933089660172	-10.079267272857773	29.87920059204065	3.693633095626449	2.0414996976505115	13.737488624419766	-5.710900375320602	723.1460160000472	88.19600000000413	38.09200000000229	28.012360909178895	243.71600000001334	127.18467200000933	198.6453440000127	153.60000000001193	1156.9451904296875	10714
6011	SWE	62.892300000000006	18.1924	3.432412201903973	7.912912111343277	26.491400645751906	787.4109034101488	19.78826909094193	-10.081331283935647	29.869600601195934	3.6846010927959583	2.031667695182418	13.727712616576765	-5.7143323785707185	724.2879360000455	88.29200000000401	38.14000000000222	27.996231869872286	244.0520000000129	127.39731200000898	198.9506240000122	153.88800000001152	1156.9451904296875	10714
6013	SWE	62.892700000000005	18.192800000000002	3.4165634016720943	7.906936115829369	26.488446077880816	786.984089332024	19.765286694823832	-10.08511370806891	29.85040061950651	3.6667098869702155	2.0121764896694687	13.708391000671059	-5.721023586059684	726.5614080000389	88.4840000000033	38.23600000000166	27.964474332763132	244.72400000001147	127.8191360000072	199.55427200001026	154.46400000000986	1156.9451904296875	10714
6016	SWE	62.9	18.4	3.7031250596045044	7.522916674613942	25.852001667022748	775.5058441162113	19.600000381469556	-9.500000000000085	29.100000381469645	4.0500000119207735	2.141666650771967	13.854166507720812	-5.233333349228047	700.750000000015	87.25000000000128	35.50000000000085	28.755492210387796	239.00000000000344	121.25000000000301	190.50000000000426	150.00000000000426	1170.2286376953125	10698
